Year,Generation,Description
1860,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1861,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1862,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1863,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1864,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1865,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1866,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1867,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1868,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1869,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1870,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1871,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1872,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1873,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1874,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1875,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1876,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1877,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1878,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1879,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1880,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1881,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1882,Missionary (Progressive) Generation,Civic-minded and reform-oriented; led major social, religious, and political reform movements.
1883,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1884,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1885,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1886,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1887,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1888,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1889,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1890,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1891,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1892,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1893,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1894,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1895,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1896,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1897,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1898,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1899,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1900,Lost Generation,Came of age during World War I; disillusioned by war and societal upheaval.
1901,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1902,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1903,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1904,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1905,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1906,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1907,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1908,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1909,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1910,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1911,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1912,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1913,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1914,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1915,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1916,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1917,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1918,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1919,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1920,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1921,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1922,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1923,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1924,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1925,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1926,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1927,Greatest Generation,Grew up during the Great Depression; fought and won World War II.
1928,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1929,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1930,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1931,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1932,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1933,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1934,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1935,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1936,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1937,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1938,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1939,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1940,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1941,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1942,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1943,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1944,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1945,Silent Generation,Children during WWII; known for conformity, discipline, and institutional loyalty.
1946,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1947,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1948,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1949,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1950,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1951,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1952,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1953,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1954,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1955,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1956,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1957,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1958,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1959,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1960,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1961,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1962,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1963,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1964,Baby Boomers,Born during the post-WWII population boom; shaped modern culture, politics, and economy.
1965,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1966,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1967,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1968,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1969,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1970,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1971,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1972,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1973,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1974,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1975,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1976,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1977,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1978,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1979,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1980,Generation X,Independent and adaptable; grew up during economic shifts and social change.
1981,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1982,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1983,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1984,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1985,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1986,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1987,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1988,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1989,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
